OTU	Domain	Phylum	Class	Order	Family	Genus	Species	Abundance
OTU5.68375139892623e+32	Fungi	Ascomycota	Dothideomycetes	Capnodiales	unidentified	unidentified	unidentified	337
OTU4.19551580198444e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta	297
OTU8.07966754558294e+32	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula_graminis	1786
OTU9.14804126247617e+31	Fungi	Basidiomycota	Agaricomycetes	Polyporales	unidentified	unidentified	unidentified	293
OTU1.86684862701771e+32	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetales_fam_Incertae_sedis	Peniophorella	unidentified	33
OTU4.36838844932136e+32	Fungi	Basidiomycota	Pucciniomycetes	Helicobasidiales	Helicobasidiaceae	Helicobasidium	Helicobasidium_mompa	2978
OTU3.69605136527618e+32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Xenodidymella	Xenodidymella_humicola	9267
OTU3.54334781735744e+32	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Wickerhamiella	Wickerhamiella_pararugosa	223
OTU7.23106502902571e+32	Fungi	Basidiomycota	Agaricomycetes	unidentified	unidentified	unidentified	unidentified	198
OTU2.82598076113125e+32	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_sphaerospermum	323
OTU1.29244768043797e+32	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Bjerkandera	Bjerkandera_adusta	334
OTU2.16470841389967e+32	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Phlebiopsis	unidentified	309
OTU7.40514487189994e+32	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_dominicanum	514
OTU1.78296609016936e+32	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Exidiaceae	Exidia	Exidia_recisa	375
OTU4.38060954251224e+32	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetales_fam_Incertae_sedis	Skvortzovia	Skvortzovia_furfurella	127
OTU1.92559582972077e+32	Fungi	Basidiomycota	Agaricomycetes	unidentified	unidentified	unidentified	unidentified	865
