OTU	Domain	Phylum	Class	Order	Family	Genus	Species	Abundance
OTU2.43467314077996e+31	Bacteria	Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineococcus	Ambiguous_taxa	157
OTU1.48622606316941e+32	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Weeksellaceae	Cloacibacterium	uncultured bacterium	32
OTU3.22183003362735e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	uncultured	uncultured_bacterium	uncultured bacterium	31
OTU2.39704049771468e+32	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	Ambiguous_taxa	102
OTU8.12753197871817e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	MN_122.2a	uncultured bacterium	109
OTU9.9417584693202e+32	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	uncultured bacterium	17873
OTU2.87731361044379e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	NA	NA	245
OTU7.17716748488261e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Craurococcus	uncultured bacterium	23
OTU5.46203502660283e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter	NA	11
OTU1.28340568594822e+31	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	uncultured bacterium	284
OTU3.4047964247279e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Ambiguous_taxa	23
OTU4.06988640981528e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Ambiguous_taxa	244
OTU8.0930218067023e+32	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	NA	3401
OTU5.09571707001655e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia	Ambiguous_taxa	263
OTU5.08499201474905e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Variovorax	NA	153
OTU4.0328893487796e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylocella	uncultured bacterium	52
OTU2.19129421722386e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	NA	NA	598
OTU2.17304481652786e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Rubritepida	NA	3
OTU5.09581232326155e+32	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	NA	5324
OTU8.35347103293245e+31	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	uncultured bacterium	17
OTU1.99199809207734e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA	NA	27
OTU5.80625219924332e+32	Bacteria	Firmicutes	Bacilli	Bacillales	Family XII	Exiguobacterium	uncultured bacterium	104
OTU6.9885153158534e+32	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	uncultured bacterium	7
OTU5.24611394831187e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	uncultured bacterium	92
OTU6.67722716361506e+32	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Ambiguous_taxa	139
OTU2.3917517969025e+31	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Ambiguous_taxa	714
OTU3.30516602191999e+32	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	uncultured bacterium	108
