OTU	Domain	Phylum	Class	Order	Family	Genus	Species	Abundance
OTU6.80928198226038e+32	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XI	Anaerococcus	uncultured bacterium	910
OTU3.06242466684388e+32	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	uncultured bacterium	54
OTU2.5033234063369e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	uncultured bacterium	420
OTU2.07219581821104e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Rhodocyclaceae	Azospira	uncultured bacterium	2
OTU5.77002618380742e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Rheinheimera	Ambiguous_taxa	207
OTU5.68517257617778e+31	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Ambiguous_taxa	1
OTU1.36179087424416e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Neisseriaceae	Neisseria	uncultured bacterium	1061
OTU5.36579080939969e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Ambiguous_taxa	103
OTU1.79420664320038e+32	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	uncultured bacterium	68
OTU3.65414212749556e+32	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA	5946
OTU9.37778151792394e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	149
OTU4.86898089147978e+32	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	uncultured bacterium	996
OTU7.34628568919391e+32	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Weeksellaceae	Bergeyella	uncultured bacterium	21
OTU1.96705797311978e+32	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	NA	14855
OTU4.67965571979878e+32	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	uncultured bacterium	22
OTU2.13606073512025e+32	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	NA	70
OTU5.09920535124984e+32	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	uncultured bacterium	4
OTU1.86849436475299e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Ambiguous_taxa	1185
OTU8.5367560767336e+32	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	uncultured bacterium	655
OTU2.18173943652946e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	NA	124
OTU7.06680319919769e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	14
OTU1.38399710451392e+32	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium_1	uncultured bacterium	4650
OTU4.42790276923926e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Aquabacterium	uncultured bacterium	383
OTU4.43788785856185e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	34
OTU7.23547988007972e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	NA	89
OTU5.46662674832135e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium	Ambiguous_taxa	332
OTU7.59628671153902e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	NA	531
OTU7.67217097630034e+32	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Lawsonella	uncultured bacterium	3
OTU2.22796586080598e+32	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	NA	15
OTU6.89288149076997e+32	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	uncultured bacterium	23
OTU9.67286190394248e+31	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	uncultured bacterium	65
