OTU	Domain	Phylum	Class	Order	Family	Genus	Species	Abundance
OTU8.82860664424317e+32	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified	972
OTU4.34222520256501e+32	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	unidentified	578
OTU6.31373884758815e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	20
OTU5.4031268726872e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	unidentified	unidentified	unidentified	41
OTU9.21930236484378e+31	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	unidentified	21
OTU9.50720667590574e+32	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	unidentified	1589
OTU5.29298588920785e+32	Fungi	Ascomycota	Dothideomycetes	unidentified	unidentified	unidentified	unidentified	621
OTU8.97631735444523e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta	30
OTU8.69528218927158e+31	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta	17
OTU7.6814408309032e+32	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	Nigrospora_oryzae	477
OTU4.04911663208185e+32	Fungi	Basidiomycota	Agaricomycetes	unidentified	unidentified	unidentified	unidentified	178
OTU7.89801507195108e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta	20
OTU7.4101560671707e+31	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	45
OTU7.7467441204622e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_sympodialis	299
OTU4.23701954506654e+31	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	Aureobasidium_leucospermi	2201
OTU8.8996935318584e+32	Fungi	Basidiomycota	Agaricomycetes	Agaricales	unidentified	unidentified	unidentified	1368
OTU6.27168663419802e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta	242
OTU5.34744524245418e+32	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	355
OTU7.73776774229251e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	3
OTU4.19551580198444e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta	15902
OTU3.69605136527618e+32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Xenodidymella	Xenodidymella_humicola	112
OTU2.82598076113125e+32	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_sphaerospermum	17
OTU1.80003067690492e+32	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Agaricostilbaceae	Sterigmatomyces	Sterigmatomyces_halophilus	344
OTU8.34929327656617e+31	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	unidentified	5795
OTU1.55735514651269e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	6768
OTU3.92634243559009e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	15
OTU8.66331911087194e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	23
OTU3.18687857977089e+31	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiales	Exobasidiaceae	Exobasidium	unidentified	89
OTU3.36178940058428e+32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	unidentified	517
OTU6.96242521884042e+32	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	unidentified	48
OTU9.17457697876078e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_arunalokei	5226
OTU5.16586537799284e+32	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	unidentified	38
OTU2.59398621685101e+31	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	160
OTU8.23667830159799e+32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	unidentified	297
OTU6.93028055460921e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta	629
OTU1.34209276348376e+32	Fungi	Basidiomycota	Agaricomycetes	unidentified	unidentified	unidentified	unidentified	112
OTU6.98487107447487e+32	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified	5008
OTU3.17150721826945e+32	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	unidentified	76
OTU7.60390051248191e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	218
OTU1.08953498923974e+31	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	11
OTU4.92160737962102e+32	Fungi	Basidiomycota	Agaricomycetes	unidentified	unidentified	unidentified	unidentified	2541
OTU7.22414167878512e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_arunalokei	8497
OTU4.10374580405183e+32	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Yarrowia	Yarrowia_lipolytica	297
OTU7.8408659783241e+32	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	68
OTU5.01504722598625e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	264
OTU1.77085204957841e+32	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	unidentified	unidentified	unidentified	1147
OTU9.33984943924422e+31	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	unidentified	33
